Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
1,Marvel's The Avengers,BV,"$623,357,910","4,349","$207,438,708","4,349",5/4,10/4
2,The Dark Knight Rises,WB,"$448,139,099","4,404","$160,887,295","4,404",7/20,12/13
3,The Hunger Games,LGF,"$408,010,692","4,137","$152,535,747","4,137",3/23,9/6
4,Skyfall,Sony,"$304,360,277","3,526","$88,364,714","3,505",11/9,3/10
5,The Hobbit: An Unexpected Journey,WB (NL),"$303,003,568","4,100","$84,617,303","4,045",12/14,4/25
6,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$292,324,737","4,070","$141,067,634","4,070",11/16,3/7
7,The Amazing Spider-Man,Sony,"$262,030,663","4,318","$62,004,688","4,318",7/3,10/14
8,Brave,BV,"$237,283,207","4,164","$66,323,594","4,164",6/22,1/17
9,Ted,Uni.,"$218,815,487","3,303","$54,415,205","3,239",6/29,10/25
10,Madagascar 3: Europe's Most Wanted,P/DW,"$216,391,482","4,263","$60,316,738","4,258",6/8,10/18
11,Dr. Seuss' The Lorax,Uni.,"$214,030,500","3,769","$70,217,070","3,729",3/2,7/26
12,Wreck-It Ralph,BV,"$189,422,889","3,752","$49,038,712","3,752",11/2,5/2
13,Lincoln,BV,"$182,207,973","2,293","$944,308",11,11/9,4/25
14,MIB 3,Sony,"$179,020,854","4,248","$54,592,779","4,248",5/25,9/9
15,Django Unchained,Wein.,"$162,805,434","3,012","$30,122,888","3,010",12/25,5/16
16,Ice Age: Continental Drift,Fox,"$161,321,843","3,886","$46,629,259","3,881",7/13,2/7
17,Snow White and the Huntsman,Uni.,"$155,332,381","3,777","$56,217,700","3,773",6/1,9/6
18,Les Miserables (2012),Uni.,"$148,809,770","2,927","$27,281,735","2,814",12/25,4/4
19,Hotel Transylvania,Sony,"$148,313,048","3,375","$42,522,194","3,349",9/28,2/28
20,Taken 2,Fox,"$139,854,287","3,706","$49,514,769","3,661",10/5,2/21
21,21 Jump Street,Sony,"$138,447,667","3,148","$36,302,612","3,121",3/16,7/1
22,Argo,WB,"$136,025,503","3,247","$19,458,109","3,232",10/12,4/24
23,Silver Linings Playbook,Wein.,"$132,092,958","2,809","$443,003",16,11/16,6/6
24,Prometheus,Fox,"$126,477,084","3,442","$51,050,101","3,396",6/8,9/20
25,Safe House,Uni.,"$126,373,434","3,121","$40,172,720","3,119",2/10,5/17
26,The Vow,SGem,"$125,014,030","3,038","$41,202,458","2,958",2/10,5/17
27,Life of Pi,Fox,"$124,987,023","2,946","$22,451,514","2,927",11/21,7/25
28,Magic Mike,WB,"$113,721,571","3,120","$39,127,170","2,930",6/29,9/27
29,The Bourne Legacy,Uni.,"$113,203,870","3,753","$38,142,825","3,745",8/10,11/8
30,Journey 2: The Mysterious Island,WB (NL),"$103,860,290","3,500","$27,335,363","3,470",2/10,6/28
31,Rise of the Guardians,P/DW,"$103,412,758","3,672","$23,773,465","3,653",11/21,4/11
32,Zero Dark Thirty,Sony,"$95,720,716","2,946","$417,150",5,12/19,3/31
33,Flight,Par.,"$93,772,375","2,638","$24,900,566","1,884",11/2,2/14
34,Think Like a Man,SGem,"$91,547,205","2,052","$33,636,303","2,015",4/20,7/8
35,The Campaign,WB,"$86,907,746","3,302","$26,588,460","3,205",8/10,11/22
36,The Expendables 2,LGF,"$85,028,192","3,355","$28,591,370","3,316",8/17,11/22
37,Wrath of the Titans,WB,"$83,670,083","3,545","$33,457,188","3,545",3/30,6/28
38,Jack Reacher,Par.,"$80,070,736","3,352","$15,210,156","3,352",12/21,3/21
39,Dark Shadows,WB,"$79,727,149","3,755","$29,685,274","3,755",5/11,8/16
40,Parental Guidance,Fox,"$77,267,296","3,368","$14,554,053","3,367",12/25,5/23
41,John Carter,BV,"$73,078,100","3,749","$30,180,188","3,749",3/9,6/28
42,Act of Valor,Rela.,"$70,012,847","3,053","$24,476,632","3,039",2/24,6/7
43,This Is 40,Uni.,"$67,544,505","2,931","$11,579,175","2,912",12/21,2/28
44,Contraband,Uni.,"$66,528,000","2,870","$24,349,815","2,863",1/13,3/15
45,Looper,TriS,"$66,486,205","2,993","$20,801,552","2,992",9/28,1/1
46,Tyler Perry's Madea's Witness Protection,LGF,"$65,653,242","2,161","$25,390,575","2,161",6/29,9/20
47,Battleship,Uni.,"$65,422,625","3,702","$25,534,825","3,690",5/18,8/2
48,Pitch Perfect,Uni.,"$65,001,093","2,787","$5,149,433",335,9/28,2/14
49,Mirror Mirror,Rela.,"$64,935,167","3,618","$18,132,085","3,603",3/30,8/16
50,Chronicle (2012),Fox,"$64,575,175","2,908","$22,004,098","2,907",2/3,6/7
51,Hope Springs,Sony,"$63,536,011","2,441","$14,650,121","2,361",8/8,10/21
52,Underworld Awakening,SGem,"$62,321,039","3,078","$25,306,725","3,078",1/20,3/8
53,The Lucky One,WB,"$60,457,138","3,175","$22,518,358","3,155",4/20,7/19
54,The Dictator,Par.,"$59,650,222","3,014","$17,435,092","3,008",5/16,7/26
55,Total Recall (2012),Sony,"$58,877,969","3,601","$25,577,758","3,601",8/3,10/7
56,Titanic 3D,Par.,"$57,884,114","3,674","$17,285,453","2,674",4/4,6/7
57,American Reunion,Uni.,"$57,011,521","3,203","$21,514,080","3,192",4/6,5/31
58,ParaNorman,Focus,"$56,003,051","3,455","$14,087,050","3,429",8/17,1/3
59,This Means War,Fox,"$54,760,791","3,189","$17,405,930","3,189",2/17,6/14
60,Project X,WB,"$54,731,865","3,055","$21,051,363","3,055",3/2,5/17
61,The Woman in Black,CBS,"$54,333,290","2,856","$20,874,072","2,855",2/3,5/3
62,Paranormal Activity 4,Par.,"$53,900,335","3,412","$29,003,866","3,412",10/19,1/3
63,The Devil Inside,Par.,"$53,261,944","2,551","$33,732,515","2,285",1/6,3/22
64,The Odd Life of Timothy Green,BV,"$51,854,875","2,717","$10,822,903","2,598",8/15,1/17
65,Ghost Rider: Spirit of Vengeance,Sony,"$51,774,002","3,174","$22,115,334","3,174",2/17,5/10
66,The Grey,ORF,"$51,580,236","3,208","$19,665,101","3,185",1/27,4/19
67,Red Tails,Fox,"$49,876,377","2,573","$18,782,154","2,512",1/20,6/7
68,The Possession,LGF,"$49,130,154","2,860","$17,732,480","2,816",8/31,11/22
69,Diary of a Wimpy Kid: Dog Days,Fox,"$49,008,662","3,401","$14,623,599","3,391",8/3,12/20
70,Sinister,LG/S,"$48,086,903","2,542","$18,007,634","2,527",10/12,1/3
71,Beauty and the Beast (3D),BV,"$47,617,067","2,625","$17,751,905","2,625",1/13,5/3
72,Savages (2012),Uni.,"$47,382,068","2,635","$16,016,910","2,628",7/6,9/6
73,The Best Exotic Marigold Hotel,FoxS,"$46,412,041","1,298","$737,051",27,5/4,10/25
74,Moonrise Kingdom,Focus,"$45,512,466",924,"$522,996",4,5/25,11/1
75,Here Comes the Boom,Sony,"$45,290,318","3,014","$11,816,596","3,014",10/12,2/18
76,Red Dawn (2012),FD,"$44,806,783","2,781","$14,276,668","2,724",11/21,2/21
77,The Three Stooges,Fox,"$44,338,224","3,482","$17,010,125","3,477",4/13,8/16
78,Star Wars: Episode I - The Phantom Menace (in 3D),Fox,"$43,456,382","2,655","$22,469,932","2,655",2/10,5/28
79,Resident Evil: Retribution,SGem,"$42,345,531","3,016","$21,052,227","3,012",9/14,11/11
80,The Cabin in the Woods,LGF,"$42,073,277","2,811","$14,743,614","2,811",4/13,7/12
81,What to Expect When You're Expecting,LGF,"$41,152,203","3,021","$10,547,068","3,021",5/18,8/2
82,Finding Nemo (3D),BV,"$41,128,283","2,904","$16,687,773","2,904",9/14,1/17
83,End of Watch,ORF,"$41,003,371","2,780","$13,152,683","2,730",9/21,1/17
84,Rock of Ages,WB (NL),"$38,518,613","3,470","$14,437,269","3,470",6/15,8/16
85,Abraham Lincoln: Vampire Hunter,Fox,"$37,519,139","3,109","$16,306,974","3,108",6/22,9/20
86,Lawless,Wein.,"$37,400,127","3,138","$10,001,982","2,888",8/29,11/29
87,The Guilt Trip,Par.,"$37,134,215","2,431","$5,290,629","2,431",12/19,3/7
88,That's My Boy,Sony,"$36,931,089","3,030","$13,453,714","3,030",6/15,7/22
89,Trouble with the Curve,WB,"$35,763,137","3,212","$12,162,040","3,212",9/21,12/13
90,The Watch,Fox,"$35,353,000","3,168","$12,750,297","3,168",7/27,10/18
91,Frankenweenie,BV,"$35,291,068","3,005","$11,412,213","3,005",10/5,2/28
92,Step Up Revolution,LG/S,"$35,074,677","2,606","$11,731,708","2,567",7/27,10/4
93,Tyler Perry's Good Deeds,LGF,"$35,025,791","2,132","$15,583,924","2,132",2/24,5/17
94,"Monsters, Inc. (3D)",BV,"$34,043,006","2,618","$4,774,686","2,618",12/19,5/2
95,2016 Obama's America,RM,"$33,449,086","2,017","$31,610",1,7/13,10/11
96,House at the End of The Street,Rela.,"$31,611,916","3,083","$12,287,234","3,083",9/21,12/20
97,The Pirates! Band of Misfits,Sony,"$31,051,126","3,358","$11,137,734","3,358",4/27,8/5
98,Joyful Noise,WB,"$30,932,113","2,735","$11,225,190","2,735",1/13,3/22
99,Chimpanzee,BV,"$28,972,764","1,567","$10,673,748","1,563",4/20,8/9
100,The Five-Year Engagement,Uni.,"$28,835,528","2,941","$10,610,060","2,936",4/27,6/21
Summary of 667 Movies on Chart:
Totals:,"$10,959,497,325",-,-,-,-,-
Averages:,"$16,431,030",-,-,-,-,-
""
Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
101,Cloud Atlas,WB,"$27,108,272","2,023","$9,612,247","2,008",10/26,1/24
102,One For the Money,LGF,"$26,414,527","2,737","$11,515,790","2,737",1/27,4/12
103,Alex Cross,LG/S,"$25,888,412","2,541","$11,396,768","2,539",10/19,1/3
104,Katy Perry: Part of Me,Par.,"$25,326,071","2,732","$7,138,266","2,730",7/5,8/30
105,Sparkle (2012),TriS,"$24,397,469","2,244","$11,643,342","2,244",8/17,9/30
106,Premium Rush,Sony,"$20,275,446","2,255","$6,030,164","2,255",8/24,10/21
107,Big Miracle,Uni.,"$20,157,300","2,133","$7,760,205","2,129",2/3,4/5
108,The Secret World of Arrietty,BV,"$19,202,743","1,522","$6,446,395","1,522",2/17,6/7
109,The Impossible,LG/S,"$19,019,882",886,"$143,818",15,12/21,4/18
110,Haywire,Rela.,"$18,942,396","2,441","$8,425,370","2,439",1/20,3/22
111,Man on a Ledge,LG/S,"$18,620,000","2,998","$8,001,932","2,998",1/27,3/1
112,A Thousand Words,P/DW,"$18,450,127","1,895","$6,176,280","1,890",3/9,5/31
113,Chernobyl Diaries,WB,"$18,119,640","2,433","$7,955,307","2,433",5/25,7/19
114,The Perks of Being a Wallflower,LG/S,"$17,742,948",745,"$228,359",4,9/21,2/7
115,Silent Hill: Revelation 3D,ORF,"$17,529,157","2,933","$8,023,036","2,933",10/26,12/16
116,Wanderlust,Uni.,"$17,450,535","2,002","$6,526,650","2,002",2/24,4/5
117,Safe (2012),LGF,"$17,142,080","2,271","$7,892,539","2,266",4/27,6/21
118,To Rome with Love,SPC,"$16,685,867",806,"$361,359",5,6/22,11/15
119,The Master,Wein.,"$16,377,274",864,"$736,311",5,9/14,3/14
120,The Raven,Rela.,"$16,008,272","2,209","$7,289,642","2,203",4/27,7/12
121,The Man with the Iron Fists,Uni.,"$15,634,090","1,872","$7,910,980","1,868",11/2,12/20
122,Killing Them Softly,Wein.,"$15,026,056","2,424","$6,812,900","2,424",11/30,2/21
123,Seven Psychopaths,CBS,"$15,024,049","1,480","$4,174,915","1,480",10/12,12/20
124,To the Arctic (IMAX),WB,"$14,445,936",52,"$270,228",50,4/20,-
125,Lockout,FD,"$14,326,864","2,335","$6,231,836","2,308",4/13,5/24
126,Hit and Run,ORF,"$13,749,300","2,870","$4,526,222","2,870",8/22,10/11
127,Dredd,LGF,"$13,414,714","2,557","$6,278,491","2,506",9/21,11/1
128,Playing for Keeps,FD,"$13,102,272","2,840","$5,750,288","2,837",12/7,2/21
129,Anna Karenina,Focus,"$12,816,367",422,"$320,690",16,11/16,2/28
130,Beasts of the Southern Wild,FoxS,"$12,795,746",318,"$169,702",4,6/27,3/21
131,Silent House,ORF,"$12,754,783","2,124","$6,661,234","2,124",3/9,5/3
132,Cirque Du Soleil: Worlds Away,Par.,"$12,512,862",840,"$2,162,993",840,12/21,2/14
133,People Like Us,BV,"$12,434,778","2,055","$4,255,423","2,055",6/29,8/30
134,Gone,LG/S,"$11,682,205","2,186","$4,770,360","2,186",2/24,4/12
135,The Words,CBS,"$11,494,838","2,801","$4,750,894","2,801",9/7,10/4
136,The Intouchables (U.S.-only),Wein.,"$10,198,820",194,"$103,507",4,5/25,1/17
137,Fun Size,Par.,"$9,409,538","3,016","$4,101,017","3,014",10/26,12/13
138,Bernie,MNE,"$9,206,470",332,"$85,805",3,4/27,9/20
139,Salmon Fishing in the Yemen,CBS,"$9,047,981",524,"$225,894",18,3/9,6/7
140,Arbitrage,RAtt.,"$7,919,574",256,"$2,002,165",197,9/14,1/17
141,Promised Land (2012),Focus,"$7,597,898","1,676","$173,915",25,12/28,1/24
142,Friends with Kids,RAtt.,"$7,251,073",640,"$2,019,083",369,3/9,6/14
143,Seeking a Friend for the End of the World,Focus,"$7,078,738","1,625","$3,822,803","1,625",6/22,7/5
144,The Collection,LD,"$6,842,058","1,403","$3,104,269","1,403",11/30,12/30
145,Amour,SPC,"$6,739,492",333,"$68,266",3,12/19,5/16
146,Hyde Park on Hudson,Focus,"$6,376,145",246,"$81,362",4,12/7,3/28
147,Hitchcock,FoxS,"$6,008,677",561,"$287,715",17,11/23,3/14
148,Chasing Mavericks,Fox,"$6,002,756","2,030","$2,268,274","2,002",10/26,1/13
149,The Sessions,FoxS,"$6,002,451",516,"$113,467",4,10/19,3/14
150,Casa De Mi Padre,LGF,"$5,909,483",475,"$2,287,239",382,3/16,5/17
151,For Greater Glory,ArcEnt,"$5,672,846",757,"$1,885,608",757,6/1,8/16
152,Won't Back Down,Fox,"$5,310,554","2,517","$2,603,370","2,515",9/28,11/22
153,October Baby (2012),Gold.,"$5,157,886",390,"$1,697,130",390,3/23,6/14
154,The Apparition,WB,"$4,936,819",810,"$2,841,488",810,8/24,10/11
155,"Jeff, Who Lives at Home",ParV,"$4,269,426",513,"$855,709",254,3/16,5/17
156,Goon,Magn.,"$4,168,528",242,"$1,232,860",241,2/24,5/31
157,The Raid: Redemption,SPC,"$4,105,187",881,"$213,785",14,3/23,7/12
158,Safety Not Guaranteed,FD,"$4,010,957",182,"$97,762",9,6/8,10/18
159,Bully (PG-13),Wein.,"$3,863,446",263,"$535,433",158,4/13,6/21
160,The Cold Light of Day,LG/S,"$3,763,583","1,511","$1,831,588","1,511",9/7,10/4
161,Searching for Sugar Man,SPC,"$3,696,196",157,"$27,459",3,7/27,8/22
162,Nitro Circus the Movie 3D,ArcEnt,"$3,377,618",800,"$1,183,701",800,8/8,10/11
163,Atlas Shrugged: Part II,ADC,"$3,336,053","1,012","$1,751,572","1,012",10/12,11/29
164,Last Ounce of Courage,RM,"$3,329,674","1,407","$1,585,994","1,407",9/14,10/11
165,Robot & Frank,Gold.,"$3,325,038",209,"$35,539",2,8/17,1/21
166,Raiders of the Lost Ark (IMAX),Par.,"$3,125,613",322,"$1,673,731",267,9/7,10/4
167,Celeste and Jesse Forever,SPC,"$3,094,813",586,"$107,785",4,8/3,12/13
168,Jab Tak Hai Jaan,Yash,"$3,047,539",164,"$1,283,585",161,11/13,11/25
169,Albert Nobbs,RAtt.,"$3,014,696",245,"$696,088",245,1/27,5/17
170,Talaash,Relbig.,"$2,871,956",172,"$1,638,706",172,11/30,1/10
171,Barfi!,UTV,"$2,804,874",132,"$1,061,713",132,9/14,10/28
172,Samsara,Osci.,"$2,672,413",70,"$76,222",2,8/24,4/25
173,Girl in Progress,LGF,"$2,609,412",322,"$1,384,078",322,5/11,6/21
174,Jiro Dreams of Sushi,Magn.,"$2,552,478",80,"$42,035",2,3/9,8/23
175,Ruby Sparks,FoxS,"$2,540,106",261,"$140,822",13,7/25,10/25
176,Dabangg 2,Eros,"$2,519,190",166,"$1,019,213",166,12/21,1/24
177,The Queen of Versailles,Magn.,"$2,401,999",89,"$51,326",3,7/20,11/22
178,Ek Tha Tiger,Yash,"$2,347,774",120,"$1,139,340",120,8/15,8/26
179,Sleepwalk with Me,IFC,"$2,266,067",135,"$68,801",1,8/24,11/22
180,Rust and Bone,SPC,"$2,062,027",168,"$27,154",2,11/23,4/4
181,Monsieur Lazhar (U.S.-only),MBox,"$2,009,517",86,"$112,190",19,4/13,10/11
182,Footnote,SPC,"$2,007,758",101,"$47,528",2,3/9,7/12
183,Killer Joe,LD,"$1,987,762",75,"$37,900",3,7/27,10/14
184,Agneepath,Eros,"$1,986,748",132,"$1,140,464",132,1/26,2/23
185,English Vinglish,Eros,"$1,862,086",88,"$745,414",88,10/5,11/25
186,Crooked Arrows,BPE,"$1,832,541",327,"$257,364",55,5/18,7/19
187,Hysteria,SPC,"$1,804,139",218,"$35,656",5,5/18,9/27
188,Housefull 2,Eros,"$1,791,780",121,"$847,132",121,4/6,5/17
189,2012 Oscar Nominated Short Films,Shrts.,"$1,702,415",146,"$412,304",120,2/10,3/29
190,Your Sister's Sister,IFC,"$1,636,190",101,"$109,221",13,6/15,8/26
191,Singin' In the Rain (2012 re-release),WB,"$1,608,925",561,"$587,211",561,7/12,8/26
192,Farewell My Queen,Cohen,"$1,597,998",64,"$72,100",4,7/13,10/18
193,A Late Quartet,EOne,"$1,562,546",100,"$75,279",9,11/2,3/14
194,A Royal Affair,Magn.,"$1,546,761",56,"$38,212",7,11/9,5/2
